Estado_civil,Curso,Modalidad_asistencia,Nacionalidad,Cualificación_de_la_madre,Cualificación_del_padre,Desplazado,Necesidades_educativas_especiales,Deudor,Matrícula_al_día,Género,Titular_de_la_beca,Estudiante_internacional,Nota_primer_semestre,Nota_segundo_semestre,Tasa_de_desempleo,Rendimiento
Soltero/a,Enfermería,Matutino,Portugués,Educación Superior - Grado,Educación Superior - Grado,Si,No,No,Si,Masculino,No,No,12.93333333,13.71666667,16.2,Enrolled
Soltero/a,Agronomía,Matutino,Portugués,Educación Superior - Maestría ,Educación Superior - Doctorado,No,No,No,Si,Masculino,No,No,11.85714286,10.57142857,16.2,Enrolled
Soltero/a,Diseño de Comunicación,Matutino,Portugués,Carrera técnico superior profesional,Educación Superior - Grado,Si,No,No,Si,Masculino,No,No,12.83333333,13.4,8.9,Graduate
Soltero/a,Gerencia ,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,No,No,No,No,Masculino,No,No,11.33333333,13.5,8.9,Enrolled
Soltero/a,Servicio Social (presencialidad vespertina),0,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Femenino,No,No,12.66666667,14.375,12.4,Graduate
Soltero/a,Gerencia (presencialidad vespertina),0,Portugués,Educación Superior - Licenciatura ,Carrera técnico superior profesional,No,No,No,Si,Masculino,No,No,12.4,13.42857143,13.9,Graduate
Soltero/a,Tecnologías de Producción de Biocombustibles,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico superior profesional,No,No,Si,No,Masculino,No,No,0.0,10.0,8.9,Dropout
Soltero/a,Ingeniería Informática ,Matutino,Portugués,Desconocido,Carrera técnico superior profesional,Si,No,No,Si,Masculino,No,No,0.0,0.0,7.6,Dropout
Soltero/a,Gerencia ,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,No,No,No,Si,Femenino,No,No,10.0,12.0,16.2,Dropout
divorciado/a,Gerencia (presencialidad vespertina),0,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Femenino,No,No,11.0,11.6,7.6,Graduate
Soltero/a,Equinocultura,Matutino,Español,Educación Superior - Maestría ,Educación Superior - Maestría ,No,No,Si,No,Femenino,No,Si,11.66666667,12.0,12.4,Dropout
Soltero/a,Periodismo y Comunicación,Matutino,Portugués,Educación Superior - Grado,Educación Superior - Grado,No,No,Si,Si,Femenino,No,No,12.75,0.0,12.7,Dropout
Soltero/a,Gerencia ,Matutino,Portugués,Educación Superior - Grado,Carrera técnico-profesional,Si,No,No,Si,Femenino,No,No,14.8,15.8,8.9,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Superior - Grado,Si,Si,No,Si,Femenino,No,No,13.928,14.34285714,11.1,Graduate
Soltero/a,Periodismo y Comunicación,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera de grado superior - Maestría (2º ciclo),No,No,No,No,Femenino,No,No,13.0,13.8,12.4,Dropout
Soltero/a,Gerencia (presencialidad vespertina),0,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,No,No,No,Si,Femenino,No,No,0.0,0.0,16.2,Dropout
Soltero/a,Gerencia (presencialidad vespertina),0,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,No,No,11.5,14.33333333,7.6,Enrolled
Soltero/a,Servicio Social,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Femenino,No,No,11.66666667,13.2,11.1,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico-profesional,Si,No,No,Si,Femenino,Si,No,13.51666667,13.77142857,11.1,Graduate
Soltero/a,Servicio Social (presencialidad vespertina),0,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera técnico-profesional,No,No,No,Si,Femenino,Si,No,11.5,13.28571429,12.4,Graduate
Soltero/a,Servicio Social,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,Si,No,12.33333333,12.83333333,12.7,Graduate
Soltero/a,Turismo ,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,Si,No,13.66666667,14.16666667,12.4,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,Si,No,11.83333333,11.83333333,9.4,Enrolled
Soltero/a,Periodismo y Comunicación,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Femenino,Si,No,14.0,11.0,9.4,Enrolled
Soltero/a,Equinocultura,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,No,No,No,Si,Femenino,No,No,14.71428571,15.8,7.6,Graduate
Soltero/a,Gerencia (presencialidad vespertina),0,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,No,No,10.6,11.0,9.4,Dropout
Soltero/a,Enfermería,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Femenino,No,No,13.04444444,13.595,15.5,Graduate
Casado/a,Turismo ,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Superior - Grado,No,No,No,Si,Femenino,No,No,0.0,0.0,12.4,Dropout
Soltero/a,Equinocultura,Matutino,Portugués,Educación Superior - Grado,Educación Superior - Grado,Si,No,No,Si,Femenino,No,No,13.0,12.9,12.4,Dropout
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,No,No,14.935,14.935,9.4,Graduate
Soltero/a,Diseño de Animación y Multimedia,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Femenino,No,No,0.0,0.0,7.6,Enrolled
Soltero/a,Enfermería,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,No,No,No,Si,Femenino,No,No,13.13333333,12.22142857,16.2,Graduate
Soltero/a,Servicio Social,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,No,No,No,Si,Femenino,Si,No,12.0,12.0,13.9,Graduate
Soltero/a,Diseño de Animación y Multimedia,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera técnico superior profesional,Si,No,No,Si,Masculino,Si,No,0.0,0.0,10.8,Enrolled
Soltero/a,Diseño de Comunicación,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Masculino,No,No,11.4,10.0,10.8,Enrolled
Soltero/a,Diseño de Comunicación,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,No,No,No,Si,Masculino,No,No,0.0,0.0,12.7,Enrolled
divorciado/a,Enfermería,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Masculino,No,No,11.9,11.0,13.9,Dropout
Soltero/a,Diseño de Animación y Multimedia,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Masculino,Si,No,0.0,0.0,10.8,Graduate
Soltero/a,Agronomía,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico superior profesional,Si,No,No,Si,Masculino,No,No,12.57142857,12.42857143,8.9,Graduate
Soltero/a,Gerencia ,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera de grado superior - Maestría (2º ciclo),No,No,Si,Si,Masculino,No,No,11.2,10.75,16.2,Dropout
Soltero/a,Turismo ,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico superior profesional,No,No,No,Si,Masculino,No,No,12.0,10.8,12.7,Enrolled
Soltero/a,Gerencia ,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico superior profesional,No,No,No,Si,Masculino,No,No,0.0,0.0,7.6,Enrolled
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico-profesional,No,No,No,Si,Masculino,No,No,11.975,13.75,13.9,Graduate
Soltero/a,Diseño de Animación y Multimedia,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Masculino,No,No,0.0,0.0,15.5,Dropout
Soltero/a,Turismo ,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Masculino,No,No,11.66666667,12.0,12.4,Dropout
Soltero/a,Periodismo y Comunicación,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Masculino,No,No,12.33333333,12.33333333,10.8,Graduate
Soltero/a,Gerencia ,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,Si,Si,Masculino,No,No,10.33333333,10.85714286,10.8,Dropout
Soltero/a,Turismo ,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico superior profesional,Si,No,No,Si,Masculino,Si,No,10.5,11.0,9.4,Dropout
Soltero/a,Periodismo y Comunicación,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera técnico-profesional,Si,No,Si,Si,Masculino,Si,No,13.66666667,13.33333333,8.9,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico superior profesional,No,No,No,Si,Masculino,Si,No,14.84285714,15.05555556,16.2,Graduate
Casado/a,Servicio Social (presencialidad vespertina),0,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,No,No,No,Si,Masculino,No,No,12.0,11.66666667,10.8,Graduate
Soltero/a,Educación Básica,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Masculino,No,No,12.2,12.2,10.8,Dropout
Soltero/a,Gerencia (presencialidad vespertina),0,Portugués,Educación Superior - Grado,Educación Superior - Grado,Si,No,No,Si,Masculino,No,No,0.0,0.0,10.8,Dropout
Soltero/a,Agronomía,Matutino,Portugués,Educación Superior - Grado,Educación Superior - Grado,No,No,Si,Si,Masculino,No,No,12.16666667,13.3,12.4,Dropout
Soltero/a,Turismo ,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,No,No,No,Si,Masculino,No,No,12.0,11.33333333,12.7,Enrolled
Casado/a,Servicio Social (presencialidad vespertina),0,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Femenino,No,No,11.0,11.0,9.4,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,Si,No,13.08,13.08,10.8,Graduate
Soltero/a,Gerencia de Publicidad y Mercadeo,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera técnico-profesional,No,No,No,Si,Femenino,Si,No,10.5,11.6,9.4,Graduate
Soltero/a,Diseño de Comunicación,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Masculino,No,No,10.66666667,11.2,7.6,Graduate
Soltero/a,Gerencia ,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Masculino,No,No,14.0,13.8,11.1,Enrolled
Soltero/a,Ingeniería Informática ,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera técnico-profesional,Si,No,Si,Si,Masculino,No,No,10.0,0.0,15.5,Enrolled
Soltero/a,Enfermería,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,No,No,No,Si,Masculino,No,No,0.0,0.0,13.9,Dropout
Soltero/a,Periodismo y Comunicación,Matutino,Brasileño,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,No,Femenino,No,Si,14.0,13.5,8.9,Graduate
Soltero/a,Equinocultura,Matutino,Brasileño,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,No,No,No,Si,Femenino,No,Si,12.0,0.0,8.9,Dropout
Casado/a,Educación Básica,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera de especialización tecnológica,No,No,No,Si,Femenino,No,No,12.66666667,0.0,7.6,Dropout
Casado/a,Servicio Social (presencialidad vespertina),0,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico-profesional,No,No,No,Si,Femenino,No,No,11.875,12.33333333,12.7,Graduate
Soltero/a,Ingeniería Informática ,Matutino,Santo Tomé y Príncipe,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Educación Superior - Grado,Si,No,No,Si,Masculino,No,Si,14.0,13.25,13.9,Enrolled
Soltero/a,Periodismo y Comunicación,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Femenino,No,No,13.66666667,13.33333333,8.9,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Femenino,Si,No,13.75,14.47777778,12.4,Graduate
Soltero/a,Enfermería Veterinaria,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Superior - Licenciatura ,Si,No,No,Si,Femenino,No,No,14.2,13.8,12.7,Enrolled
Soltero/a,Enfermería,Matutino,Portugués,Educación Superior - Grado,Educación Superior - Grado,Si,No,Si,No,Femenino,No,No,11.96,0.0,13.9,Dropout
Soltero/a,Enfermería Veterinaria,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,No,No,12.875,13.4,8.9,Dropout
Soltero/a,Diseño de Animación y Multimedia,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Femenino,No,No,0.0,0.0,16.2,Graduate
Casado/a,Servicio Social (presencialidad vespertina),0,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Femenino,No,No,0.0,0.0,9.4,Dropout
divorciado/a,Agronomía,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,No,No,No,Si,Femenino,No,No,14.63157895,14.23076923,15.5,Graduate
Soltero/a,Educación Básica,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Femenino,No,No,0.0,0.0,11.1,Dropout
Soltero/a,Diseño de Comunicación,Matutino,Portugués,Educación Superior - Grado,Educación Secundaria - 12º Año de Escolaridad o Equiv.,No,No,Si,Si,Femenino,No,No,13.0,12.27272727,11.1,Graduate
Soltero/a,Servicio Social,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,No,No,0.0,0.0,16.2,Dropout
Soltero/a,Enfermería Veterinaria,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Femenino,No,No,14.2,13.25,15.5,Dropout
Soltero/a,Enfermería,Matutino,Portugués,Educación Superior - Grado,Educación Superior - Maestría ,Si,No,No,Si,Femenino,No,No,13.26666667,12.3,12.4,Dropout
Soltero/a,Educación Básica,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Femenino,No,No,11.66666667,13.0,16.2,Enrolled
Soltero/a,Servicio Social,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Femenino,No,No,13.85714286,15.0,13.9,Graduate
Soltero/a,Gerencia ,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,Si,No,13.0,11.0,8.9,Enrolled
Soltero/a,Enfermería Veterinaria,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Femenino,No,No,13.4,12.8,10.8,Graduate
Soltero/a,Periodismo y Comunicación,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,No,No,12.66666667,12.57142857,10.8,Graduate
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera técnico superior profesional,Si,No,No,Si,Femenino,No,No,12.51666667,12.51666667,7.6,Dropout
Soltero/a,Enfermería,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,No,No,11.61666667,13.0,13.9,Enrolled
Soltero/a,Servicio Social,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico superior profesional,Si,No,No,Si,Femenino,Si,No,10.0,10.75,7.6,Enrolled
Soltero/a,Gerencia ,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,No,No,No,Si,Femenino,No,No,10.33333333,10.66666667,12.4,Enrolled
Soltero/a,Enfermería Veterinaria,Matutino,Portugués,Educación básica 1er ciclo (4º/5º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,No,No,13.14285714,11.4,9.4,Graduate
Soltero/a,Gerencia ,Matutino,Portugués,Educación Superior - Licenciatura ,Carrera técnico-profesional,No,No,No,Si,Femenino,No,No,12.6,14.0,11.1,Graduate
Soltero/a,Turismo ,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Femenino,No,No,11.0,11.0,9.4,Dropout
Soltero/a,Gerencia ,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera técnico-profesional,Si,No,No,Si,Femenino,No,No,10.8,11.25,16.2,Graduate
Soltero/a,Diseño de Animación y Multimedia,Matutino,Portugués,Educación Superior - Grado,Carrera técnico-profesional,No,No,No,Si,Femenino,No,No,0.0,0.0,10.8,Dropout
Soltero/a,Gerencia de Publicidad y Mercadeo,Matutino,Portugués,Educación básica 2º ciclo (6º/7º/8º año) o equivalente,Carrera de grado superior - Maestría (2º ciclo),No,No,No,Si,Femenino,Si,No,12.8,14.2,9.4,Graduate
Soltero/a,Enfermería Veterinaria,Matutino,Portugués,Educación Básica 3er Ciclo (9º/10º/11º Año) o Equiv.,Carrera de grado superior - Maestría (2º ciclo),Si,No,No,Si,Femenino,No,No,14.16666667,12.2,15.5,Graduate
Soltero/a,Higiene Bucal,Matutino,Portugués,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Educación Secundaria - 12º Año de Escolaridad o Equiv.,Si,No,No,Si,Femenino,No,No,12.1,0.0,13.9,Dropout
